Cell Code,T_C,T_K,Conductivity,Filename,1000/T
GF03,20,293.15,9.276438082208953e-05,BL-LL-GF03_20C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.4112229234180456
GF03,20,293.15,9.70166167926877e-09,BL-LL-GF03_20C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.4112229234180456
GF03,10,283.15,9.718173228980811e-05,BL-LL-GF03_10C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.531696980399082
GF03,10,283.15,7.848796070659107e-09,BL-LL-GF03_10C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.531696980399082
GF03,0,273.15,9.718173228980811e-05,BL-LL-GF03_0C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.660992128866923
GF03,0,273.15,6.644086005099485e-09,BL-LL-GF03_0C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.660992128866923
GF03,-10,263.15,9.718173228980811e-05,BL-LL-GF03_-10C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.800114003420103
GF03,-10,263.15,5.685540123747578e-09,BL-LL-GF03_-10C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.800114003420103
GF03,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GF03_-20C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.950227138060439
GF03,-20,253.14999999999998,4.929660926031166e-09,BL-LL-GF03_-20C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.950227138060439
GF03,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GF03_-40C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,4.2890842805061125
GF03,-40,233.14999999999998,3.921356311380201e-09,BL-LL-GF03_-40C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,4.2890842805061125
GF03,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GF03_-60C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,4.691531785127845
GF03,-60,213.14999999999998,1.4830646365024521e-09,BL-LL-GF03_-60C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,4.691531785127845
GG01,60,333.15,9.718173228980811e-05,BL-LL-GG01_60C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.0016509079994
GG01,60,333.15,4.3733726450785604e-05,BL-LL-GG01_60C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.0016509079994
GG01,40,313.15,9.718173228980811e-05,BL-LL-GG01_40C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.193357815743254
GG01,40,313.15,5.5728761226577065e-05,BL-LL-GG01_40C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.193357815743254
GG01,20,293.15,9.276438082208953e-05,BL-LL-GG01_20C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.4112229234180456
GG01,20,293.15,1.3706409620958965e-05,BL-LL-GG01_20C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.4112229234180456
GG01,10,283.15,9.718173228980811e-05,BL-LL-GG01_10C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.531696980399082
GG01,10,283.15,3.054542311943465e-05,BL-LL-GG01_10C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.531696980399082
GG01,0,273.15,9.718173228980811e-05,BL-LL-GG01_0C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.660992128866923
GG01,0,273.15,3.963524844546533e-05,BL-LL-GG01_0C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.660992128866923
GG01,-10,263.15,9.718173228980811e-05,BL-LL-GG01_-10C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.800114003420103
GG01,-10,263.15,4.571979462035494e-05,BL-LL-GG01_-10C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.800114003420103
GG01,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GG01_-20C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.950227138060439
